Date,Open,High,Low,Close,Volume,log_returns,rolling_vol_30,Return,Cumulative,Peak,Drawdown,DayOfWeek,Month,Year
2000-01-04,1455.219970703125,1455.219970703125,1397.4300537109375,1399.4200439453125,1009000000,-0.03909917534093802,,,,,,Tuesday,January,2000
2000-01-05,1399.4200439453125,1413.27001953125,1377.6800537109375,1402.1099853515625,1085500000,0.0019203379615859075,,0.0019221829913671495,1.0019221829913671,1.0019221829913671,0.0,Wednesday,January,2000
2000-01-06,1402.1099853515625,1411.9000244140625,1392.0999755859375,1403.449951171875,1092300000,0.0009552217400569889,,0.0009556781096431433,1.0028796980892178,1.0028796980892178,0.0,Thursday,January,2000
2000-01-07,1403.449951171875,1441.469970703125,1400.72998046875,1441.469970703125,1225200000,0.02672994972987063,,0.027090399268961063,1.0300481095291898,1.0300481095291898,0.0,Friday,January,2000
2000-01-10,1441.469970703125,1464.3599853515625,1441.469970703125,1457.5999755859375,1064800000,0.011127824873139451,,0.011189969413615053,1.0415743163693734,1.0415743163693734,0.0,Monday,January,2000
2000-01-11,1457.5999755859375,1458.6600341796875,1434.4200439453125,1438.56005859375,1014000000,-0.013148576788902815,,-0.013062511876438365,1.0279687394916053,1.0415743163693734,-0.013062511876438344,Tuesday,January,2000
2000-01-12,1438.56005859375,1442.5999755859375,1427.0799560546875,1432.25,974600000,-0.004396019678609715,,-0.004386371327394056,1.0234596868872419,1.0415743163693734,-0.017391586176273864,Wednesday,January,2000
2000-01-13,1432.25,1454.199951171875,1432.25,1449.6800537109375,1030400000,0.012096245165416932,,0.012169700618563484,1.0359148848718283,1.0415743163693734,-0.005433535954757649,Thursday,January,2000
2000-01-14,1449.6800537109375,1473.0,1449.6800537109375,1465.1500244140625,1085900000,0.010614763497340866,,0.010671299962722536,1.0469694433441448,1.0469694433441448,0.0,Friday,January,2000
2000-01-18,1465.1500244140625,1465.1500244140625,1451.300048828125,1455.1400146484375,1056700000,-0.006855516976735141,,-0.00683207152771137,1.0398164732198893,1.0469694433441448,-0.006832071527711433,Tuesday,January,2000
2000-01-19,1455.1400146484375,1461.3900146484375,1448.6800537109375,1455.9000244140625,1087800000,0.0005221568736222691,,0.0005222932212531894,1.0403595623151995,1.0469694433441448,-0.006313346651104233,Wednesday,January,2000
2000-01-20,1455.9000244140625,1465.7099609375,1438.5400390625,1445.5699462890625,1100700000,-0.007120612569861287,,-0.007095321074094607,1.0329778771880687,1.0469694433441448,-0.013363872503657207,Thursday,January,2000
2000-01-21,1445.5699462890625,1453.1800537109375,1439.5999755859375,1441.3599853515625,1209800000,-0.0029165681339535805,,-0.0029123190810015354,1.0299695160060813,1.0469694433441448,-0.016237271723770322,Friday,January,2000
2000-01-24,1441.3599853515625,1454.0899658203125,1395.4200439453125,1401.530029296875,1115800000,-0.028022584228459112,,-0.027633593591799732,1.0015077569888267,1.0469694433441448,-0.04342217114771572,Monday,January,2000
2000-01-25,1401.530029296875,1414.260009765625,1388.489990234375,1410.030029296875,1073700000,0.006046483603040547,,0.006064800483985611,1.0075817017181279,1.0469694433441448,-0.037620717468322434,Tuesday,January,2000
2000-01-26,1410.030029296875,1412.72998046875,1400.1600341796875,1404.0899658203125,1117300000,-0.004221619766667546,,-0.00421272125638672,1.0033370408657536,1.0469694433441448,-0.041674953128549866,Wednesday,January,2000
2000-01-27,1404.0899658203125,1418.8599853515625,1370.989990234375,1398.56005859375,1129500000,-0.003946204024482488,,-0.00393842799334565,0.9993854701772473,1.0469694433441448,-0.04544924731987266,Thursday,January,2000
2000-01-28,1398.56005859375,1398.56005859375,1356.199951171875,1360.1600341796875,1095800000,-0.02784081272973308,,-0.027456829027902918,0.9719455141896203,1.0469694433441448,-0.07165818413466696,Friday,January,2000
2000-01-31,1360.1600341796875,1394.47998046875,1350.1400146484375,1394.4599609375,993800000,0.024904850529124643,,0.025217566974388372,0.9964556152891534,1.0469694433441448,-0.04824766221795759,Monday,January,2000
2000-02-01,1394.4599609375,1412.489990234375,1384.7900390625,1409.280029296875,981000000,0.010571740915406745,,0.01062781920924527,1.0070457654184837,1.0469694433441448,-0.03813261044003359,Tuesday,February,2000
2000-02-02,1409.280029296875,1420.6099853515625,1403.489990234375,1409.1199951171875,1038600000,-0.00011356385074743024,,-0.00011355740261742575,1.006931407917046,1.0469694433441448,-0.038241837602454365,Wednesday,February,2000
2000-02-03,1409.1199951171875,1425.780029296875,1398.52001953125,1424.969970703125,1146500000,0.011185347697919614,,0.011248137590027962,1.0182575109370176,1.0469694433441448,-0.02742384946347421,Thursday,February,2000
2000-02-04,1424.969970703125,1435.9100341796875,1420.6300048828125,1424.3699951171875,1045100000,-0.00042113303572190804,,-0.000421044371651913,1.0178287793431453,1.0469694433441448,-0.02783334717766043,Friday,February,2000
2000-02-07,1424.3699951171875,1427.1500244140625,1413.3299560546875,1424.239990234375,918100000,-9.12760143166444e-05,,-9.127184878798822e-05,1.017735880228705,1.0469694433441448,-0.0279220786253935,Monday,February,2000
2000-02-08,1424.239990234375,1441.8299560546875,1424.239990234375,1441.719970703125,1047700000,0.01219849367259354,,0.012273198750635705,1.0302267549624051,1.0469694433441448,-0.015991573095258168,Tuesday,February,2000
2000-02-09,1441.719970703125,1444.550048828125,1411.6500244140625,1411.7099609375,1050500000,-0.02103511705975112,,-0.02081542211764542,1.0087821501809706,1.0469694433441448,-0.0364741238686006,Wednesday,February,2000
2000-02-10,1411.699951171875,1422.0999755859375,1406.4300537109375,1416.8299560546875,1058800000,0.00362024285277645,,0.0036268038470079755,1.01244080516404,1.0469694433441448,-0.032979604514355554,Thursday,February,2000
2000-02-11,1416.8299560546875,1416.8299560546875,1378.8900146484375,1387.1199951171875,1025700000,-0.021192298989189638,,-0.02096932014356223,0.9912106097941492,1.0469694433441448,-0.053257364772648204,Friday,February,2000
2000-02-14,1387.1199951171875,1394.9300537109375,1380.530029296875,1389.93994140625,927300000,0.0020308868535491302,,0.0020329505010301396,0.9932256918999566,1.0469694433441448,-0.051332683858016204,Monday,February,2000
2000-02-15,1389.93994140625,1407.719970703125,1376.25,1402.050048828125,1092100000,0.008674947553079746,0.014975495269282572,0.008712683952101452,1.0018793534465882,1.0469694433441448,-0.043067245356782795,Tuesday,February,2000
2000-02-16,1402.050048828125,1404.550048828125,1385.5799560546875,1387.6700439453125,1018800000,-0.010309372816680578,0.013293824946502013,-0.01025641338184169,0.9916036646389077,1.0469694433441448,-0.052881943267028116,Wednesday,February,2000
2000-02-17,1387.6700439453125,1399.8800048828125,1380.0699462890625,1388.260009765625,1034800000,0.0004250581374747612,0.013288088511420245,0.0004251484874857603,0.9920252434371143,1.0469694433441448,-0.052479277457737616,Thursday,February,2000
